for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
a,alxaʒur,ალხაძურ,,,,,,,,,,**ალხაძურ** არწივი (შიფნ.)
a,alzan1,ალზან1,j j,,,,,alzneⁿ,,,,**ალზან1** *ჲ ჲ* (ალზნეჼ) ალაზანი (ჰიდრონიმი)
a,alču,ალჩუ,,,GE,n,,,ალჩუ,knucklebones (for game),восклицание во время игры в кости,"**ალჩუ** ალჩუ, გამარჯვების, წარმატების ნიშანი"
a,alčuqʼ,ალჩუყ,d d,D,GE,n,,alčqʼi; alčqʼeⁿ,"ალაჩოყი, კარავი","shelter, cover, tent","шалаш, юрта","**ალჩუყ** *დ დ* (ალჩყი; ალჩყეჼ) ალაჩოყი, კარავი"
a,alŏ,,,J,GE,n,,,ალო,plough land,"земля, намеченная для распашки",
a,alŏ1,ალო̆1,j j,,,,,aluij; alujⁿ,,,,"**ალო̆1** *ჲ ჲ* (ალუიჲ; ალუჲჼ) ალო, დღიური ნახნავი"
a,alŏ2,ალო̆2,,,,,,,,,,**ალო̆2**ბედნიერი
a,amag,ამაგ,j,J,GE,n,,,ამაგი,"care, work on sb's behalf","забота, попечение",**ამაგ** *ჲ* ამაგი
a,ambuj,ამბუჲ,j,J,,n,,ambujⁿ,ამბები; საუბარი,"stories, speech","вести, известия, беседа","**ამბუჲ** *ჲ* (ამბუჲჼ) მრ. 1. ამბები, 2. რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი **ამბუჲ თასარ** გრდმ. ცუდი ამბის დატრიალება, ცუდი რამის ჩადენა; **ამბუჲ ჲარ** გრდმ. საუბარი, ლაპარაკი, მოლაპარაკება; **ამბუჲ ჲითარ** გრდმ. აამბობინებს; **ამბოხ დ-ახარ** გრდუვ. *ამბებში წასვლა, მასლაათი, მუსაიფი;* **ამბუჲ ჲორიკ** ლაპარაკის მოყვარული; **ამბუჲ ჲუჲნი̆** მოლაპარაკე, მოუბარი"
a,amind,ამინდ,b d,B,GE,n,,aminduj; amindeⁿ,ამინდი,weather,погода,**ამინდ**  *ბ დ* (ამინდუჲ; ამინდეჼ)ამინდი
a,amindcʼina,ამინდწინა,d,,,,,,,,,**ამინდწინა** *დ* უამინდობა
a,amkar,ამქარ,j j,J,GE,n,,amk[a]ri; amkreⁿ,ამქარი,"worshop, guild",цех,**ამქარ** *ჲ ჲ* (ამქ[ა]რი; ამქრეჼ) ამქარი
a,amnat,ამნათ,d d,,,,,,,,,"**ამნათ** *დ დ* უცხოტომელი მოსამსახურე, მოჯამაგირე"
a,ampsoⁿ,ამფსოჼ,d d,D,GE,n,,ampsoni; ajmpsneⁿ,ამფსონი,"comrade, (drinking, eating) buddy","сотоварищ (за выпивкой, едой)",**ამფსოჼ** *დ დ* (ამფსონი; აჲმფსნეჼ) ამფსონი
a,an-kari,ან-ქარი,d,,,,,an-kareⁿ,,,,**ან-ქარი** *დ* (ან-ქარეჼ) მრ. ჭვლები (ჭვლები და ქარები)
a,anapor,ანაფორ,d d,D,GE,n,,anapori; an[a]poreⁿ,ანაფორა,"cassock, surplice",ряса,**ანაფორ** *დ დ* (ანაფორი; ან[ა]ფორეჼ) ანაფორა
a,anbani,ანბანი,,0d,GE,n,,,ანბანი,"alphabet, letters","азбука, букварь",**ანბანი** დ მრ. ანბანი
a,ancʼl,ანწლ,d d,D,GE,n,,ancʼli; ancʼleⁿ,ანწლი,danewort,вонючая бузина,**ანწლ** *დ დ* (ანწლი; ანწლეჼ) ანწლი
a,and,ანდ,j,J,,n,,,იერი,"appearance, look","вид, облик",**ანდ** *ჲ* იერი
a,andaz,ანდაზ,j j,J,GE,n,,andzi; ajndzeⁿ,ანდაზა,"proverb, saying","пословица, поговорка",**ანდაზ** *ჲ ჲ* (ანდზი; აჲნდზეჼ) ანდაზა
a,anderʒ,ანდერძ,j j,J,GE,n,,anderʒi; anderʒeⁿ,ანდერძი,"will, testament",завещание,**ანდერძ** *ჲ ჲ* (ანდერძი; ანდერძეჼ)ანდერძი **ანდერძ ჲარ**ანდერძის აგება
a,andit,ანდით,,,GE,adv,,,ანდედ,at random,наугад,"**ანდით** ანდედ, გუმანით, ვარაუდით"
a,angloz,ანგლოზ,d d,D,GE,n,,anglozi; ajnglzeⁿ,ანგელოზი,angel,ангел,**ანგლოზ** *დ დ* (ანგლოზი; აჲნგლზეჼ)ანგელოზი
a,angriš,ანგრიშ,j j,J,GE,n,,ajngrši; ajngršeⁿ,ანგარიში,"bill, score, account",счет,**ანგრიშ** *ჲ ჲ* (აჲნგრში; აჲნგრშეჼ)ანგარიში
