for_sorting,lemma_la,lemma_mkh,gender_la,gender_modified,etymologies,sharedgrammaticalinfo,partofspeech_1,morphology_la,ka,en,ru,source
m,mak ħečʼujnĭ,მაქ ჰ’ეჭუჲნი̆,,,,,,,,,,"**მაქ ჰ’ეჭუჲნი̆** მიმღ. მეთვალყურე, ყურის მგდებელი, მომვლელი"
m,"mak ʕop-d-ar, mak ʕep-d-ar","მაქ ჵოფ-დ-არ, მაქ ჵეფ-დ-არ",,,,,,,,,,"**მაქ ჵოფ-დ-არ, მაქ ჵეფ-დ-არ** გრდმ. [ზედ] გადაფარება ([გა]დააფარებს), წამოხურვა"
m,mak1,,,,,pv,,,"ზევით, ზედ",on,"наверх, вверх, сверху",
m,mak2,,,,,adv,,,"ზევით, ზედ","on top, up","наверх, вверх, сверху",
m,maka[ħ]-d-aɬar,მაქა[ჰ’]-დ-ალ’არ,,,,,,,,,,"**მაქა[ჰ’]-დ-ალ’არ** გრდმ. დამატებით მიცემა (მისცემს), დამატება, დასართვა"
m,makaħ-d-otʼar,მაქაჰ’-დ-ოტარ,,,,,,,,,,**მაქაჰ’-დ-ოტარ** გრდუვ. 1. გადმოსვლა (გადმოვა)2. დაჩაგვრა (დაჩაგრავს)
m,makda[ħ] d-otʼar,მაქდა[ჰ’] დ-ოტარ,,,,,,,,,,"**მაქდა[ჰ’] დ-ოტარ** გრდუვ. ზედ გადაბიჯება (გადააბიჯებს), გადასვლა"
m,makdareⁿ,მაქდარეჼ,,,,,,,,,,"**მაქდარეჼ**  ზევითა, ზემოთა, ზემო; შდრ. მაქრეჼ"
m,makdaħ,მაქდაჰ’,,,,,,,,,,**მაქდაჰ’** ზმნს. ზემოთ
m,makdaħ d-axar,მაქდაჰ’ დ-ახარ,,,,,,,,,,**მაქდაჰ’ დ-ახარ** გრდუვ. ზედ გადავლა (გადაუვლის)
m,makeqqar,მაქეჴჴარ,,,,,,,,,,"**მაქეჴჴარ** *გრდუვ.* ზე ახტომა, შეხტომა, მოხტომა (მოახტება)"
m,maklak-d-ar,მაქლაქ-დ-არ,,,,,,,,,,"**მაქლაქ-დ-არ** *გრდმ.* ზედ დაგდება (დააგდებს), წახურვა, წაფარება"
m,"maklat-d-ar, maklet-d-ar","მაქლათ-დ-არ, მაქლეთ-დ-არ",,,,,,,,,,"**მაქლათ-დ-არ, მაქლეთ-დ-არ** *გრდმ.* ზედ დაკრობა ([და]აკრობს), ზედ დაკერება"
m,maklattar,მაქლათთარ,,,,,,,,,,"**მაქლათთარ** *1) გრდუვ.* ზედ დგომა, თავს დგომა (თავზე ადგას), წესრიგის დაცვა *2) დ დ* ზედამდეგი, წესრიგის დამცველი (სუფრაზე)"
m,maklatʼ-d-ar,მაქლატ-დ-არ,,,,,,,,,,"**მაქლატ-დ-არ** *გრდმ. ზედ დამატება (დაამატებს), მიმატება*"
m,makollar,მაქოლლარ,,,,,,,,,,"**მაქოლლარ** *გრდმ.* ზე[დ] აგება (ააგებს), წამოგება, ჩაცმა"
m,makott-d-ar,მაქოთთ-დ-არ,,,,,,,,,,"**მაქოთთ-დ-არ** *გრდმ.* ზედ დადგმა (დაადგამს), შედგმა;დაშენება"
m,makottar,მაქოთთარ,,,,,,,,,,"**მაქოთთარ** *გრდუვ.* 1)თავზე დადგომა (თავზე დაადგება)2)თავზე წადგომა, მიგნება"
m,makqoxkʼcʼiⁿ,მაქჴოხკწიჼ,,,,,,,,,,"**მაქჴოხკწიჼ** აუკიდებელი (ცხენები, ბარგი); აუკიდებლად"
m,makren juħ,მაქრენ ჲუჰ’,j j,,,,,,,,,"**მაქრენ ჲუჰ’** *ჲ ჲ* ზედაპირი, პირი (ქსოვილისა)"
m,makren mak,მაქრენ მაქ,,,,,,,,,,"**მაქრენ მაქ** ზმნს. ზერელედ; აგდებით, ზევიდან"
m,makren čʼar,მაქრენ ჭარ,d d,,,,,,,,,"**მაქრენ ჭარ** *დ დ* 1.ზედა კანი, პირი (საბნისა), საპირე 2. ზმნს. ზევიდან"
m,makrena[ħŏ],მაქრენა[ჰ’ო̆],,,,,,,,,,**მაქრენა[ჰ’ო̆]** ზმნს. ზევიდან (ქვევით)
m,makreⁿ,მაქრეჼ,,,,,,,,,,"**მაქრეჼ**  1. ზედა, ზევითა"
m,makreⁿ mak daɁar,მაქრეჼ მაქ დაჸარ,,,,,,,,,,**მაქრეჼ მაქ დაჸარ** *გრდუვ. ამოტივტივება (ამოტივტივდება)*
m,makreⁿ mak qeħar,მაქრეჼ მაქ ჴეჰ’არ,,,,,,,,,,"**მაქრეჼ მაქ ჴეჰ’არ** *გდრმ. ზედაპირზე ამოგდება (ამოაგდებს), ამოტივტივება*"
m,makx,მაქხ,,,,,,,,,,"**მაქხ** ზმნს. ზევით, ზემოთ"
m,makx xecar,მაქხ ხეცარ,,,,,,,,,,"**მაქხ ხეცარ** გრდმ. 1) აშვება (აუშვებს), დაუბმელად გაშვება 2. აშვება (თავის ნებაზე)"
m,makğujla,მაქღუჲლა,d d,,,,,,,,,"**მაქღუჲლა** *დ დ* ზედ მისასვლელი, მისავალი"
m,makʼ-d-alar,მაკ-დ-ალარ,,,,,,,,,,"**მაკ-დ-ალარ**  გრდუვ. ფერის დაკარგვა (ფერი დაეკარგება), გაფითრება; გახუნება"
m,makʼ-d-ar1,მაკ-დ-არ1,,,,,,,,,,**მაკ-დ-არ1**გრდმ. შეძლება (შეიძლებს)
m,makʼ-d-ar2,მაკ-დ-არ2,,,,,,,,,,"**მაკ-დ-არ2** გრდმ. ფერის დაკარგვა (ფერს დაუკარგავს), გაფითრება, გახუნება"
m,"makʼ-d-omakʼar, makʼo-d-makʼar","მაკ-დ-ომაკარ, მაკო-დ-მაკარ",,,,,,,,,,"**მაკ-დ-ომაკარ, მაკო-დ-მაკარ** გრდუვ. შეძლება (შეძლებს)"
m,makʼ-d-ujla,მაკ-დ-უჲლა,d,,,,,,,,,"**მაკ-დ-უჲლა** *დ* შეძლების უნარი, სახსარი"
m,makʼal,მაკალ,,,,,,,,,,"**მაკალ** ფუტურო, ფუღურო *(ალირ.)*"
m,makʼar,მაკარ,,,,vi,,,შეძლება (შეუძლია),be able to,"мочь, иметь возможность, быть в состянии",**მაკარ** გრდუვ. 1. შეძლება (შეუძლია) 2. რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი; აწარმოებს პოტენციალისის შინაარსის მქონე გრდუვ. ზმნას
m,makʼarcʼiⁿ,მაკარწიჼ,,,,,,,,,,"**მაკარწიჼ**  უღონო, უილაჯო"
m,makʼartʼaⁿ,მაკარტაჼ,d d,D,GE,n,,makʼartʼni; makʼartʼneⁿ,მაკრატელი,scissors,ножницы,**მაკარტაჼ**  *დ დ* (მაკარტნი; მაკარტნეჼ) მაკრატელი
m,makʼarxitʼenŏ,მაკარხიტენო̆,,,,,,,,,,"**მაკარხიტენო̆** მიმღ. ილაჯგაწყვეტილი, ქანცგაწყვეტილი"
m,makʼe,მაკე,,,,,,,,,,**მაკე** ყვითელი *(შიფნ.)*
m,makʼeš,მაკეშ,,,,,,,,,,"**მაკეშ** ღონიერი, ძლიერი, შემძლე; შეძლებული; იხ. მაკარ"
m,makʼešstʼakʼ,მაკეშსტაკ,,,,,,,,,,"**მაკეშსტაკ** ბუმბერაზი, გოლიათი *(ალირ.)*"
m,makʼeⁿ,მაკეჼ,,,,a,,,"ფერმკრთალი, ფერწასული; გახუნებული","pale, faded, discoloured","бледный, бесцветный, выгоревший","**მაკეჼ** ფერმკრთალი, ფერწასული; გახუნებული"
m,makʼinĭ,მაკინი̆,,,,,,,,,,"**მაკინი̆** მიმღ. შემძლე, ღონიერი"
m,makʼx-d-itar,მაკხ-დ-ითარ,,,,,,,,,,"**მაკხ-დ-ითარ** გრდმ. დასხმევინება, დაღვრევინება"
m,mal-d-alar,მალ-დ-ალარ,,,,,,,,,,**მალ-დ-ალარ** გრდუვ. 1. გათბობა ([გა]თბება)2. დაღლა ([და]იღლება)
m,mal-d-alinŏ,მალ-დ-ალინო̆,,,,,,,,,,**მალ-დ-ალინო̆** მიმღ. დაღლილი
m,mal-d-ar,მალ-დ-არ,,,,,,,,,,"**მალ-დ-არ** გრდმ. 1. შეთბობა, გათბობა ([გა]ათბობს)2. დაღლა ([და]ღლის)"
m,malamŏ,,,D,GE,n,,,მალამო,"ointment, balm",мазь,
m,"malamŏ, malam","მალამო̆, მალამ",d,,,,,,,,,"**მალამო̆, მალამ** *დ* მალამო"
m,maliⁿ,მალიჼ,,,,a,,,"ნელთბილი, თბილი; ზარმაცი, ზანტი, დუნე","warm; lazy, listless","теплый; ленивый, вялый","**მალიჼ** 1. ნელთბილი, თბილი 2. გადატ. ზარმაცი, ზანტი, დუნე **მალიშ** ზმნს. ბოშად, დუნედ, მოფონებით"
m,malol,მალოლ,j,,,,,,,,,**მალოლ** *ჲ* სიზარმაცე
m,"malol jetʼar, jotʼar","მალოლ ჲეტარ, ჲოტარ",,,,,,,,,,"**მალოლ ჲეტარ, ჲოტარ** გრდუვ. გაზარმაცება (გაზარმაცდება)"
m,mam,მამ,,,,pro neg,,,"ნურაფერი, ნურა",nothing.PROH,"ничто, ничего","**მამ** უარყ. ნაცვ. ნურაფერი, ნურა"
m,mam,მამ,,,,pro neg,,,"ნურაფერი, ნურა",nothing.PROH,"ничто, ничего",**მამ** ცური *(ექსპ.)*
m,mamena,მამენა,,,,pro neg,,,ნურავინ,nobody.PROH,никто,"**მამენა** უარყ. ნაცვალს. სხვა ბრუნვებში ენაცვლება მაჰ’ან ფუძე ნურავინ იხ. მა, მენა"
m,mamxobel,მამხობელ,b d,B,GE,n,,,მახობელი,Syrian scabious,"махобели, сирийская головчатка (раст.)","**მამხობელ** *ბ დ* მახობელი, ერთწლოვანი სარეველა ბალახი"
m,manam,,,,GE,adv,,,სანამ,until; as long as,"пока, до тех пор, пока...",
m,manat,მანათ,b d,B,GE,n,,manteⁿ,მანეთი,manat,рубль,**მანათ** *ბ დ* (მანთეჼ) მანეთი
m,mandil,მანდილ,d d,D,GE,n,,majndli; majndleⁿ,მანდილი,headscarf,головной платок,**მანდილ** *დ დ* (მაჲნდლი; მაჲნდლეჼ)მანდილი
m,mankʼ,მანკ,j,J,GE,n,,mankʼeⁿ,"მანკი, ზადი","fault, defect, flaw",порок (болезнь),"**მანკ** *ჲ* (მანკეჼ) მანკი, ზადი"
m,manʒil,მანძილ,j j,J,GE,n,,,მანძილი,"distance, way",расстояние,**მანძილ** *ჲ ჲ* მანძილი
m,mapraš,მაფრაშ,d d,D,GE,n,,,მაფრაშა,big sack for carrying clothes etc.,большой ковровый мешок (для постельных принадлежностей и др.),**მაფრაშ** *დ დ* მაფრაშა
m,maqacʼ,მაჴაწ,b d,B,,n,,,"კაჟი, ტალი, კვესი; ყოჩაღი, უნარიანი, ენერგიული","flint; good, able, vigorous","кремень; молодец, энергичный","**მაჴაწ** *ბ დ* 1. კაჟი, ტალი, კვესი 2. გადატ. ყოჩაღი, უნარიანი, ენერგიული"
m,maqcʼaren,მაჴწარენ,,,,,,,,,,**მაჴწარენ**კაჟიანი
m,maqiš,მაჴიშ,,,,n,,,,,,**მაჴიშ** მრ. იხ. მოჴ
m,"maqʼ, maqʼŏ","მაყ, მაყო̆",,,,,,,,,,"**მაყ, მაყო̆** ბ 1. თავისუფალი 2. რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი **მაყ ბალ’არ, მაყ თელ’არ** თავის დანებება (თავს [და]ანებებს), მიტოვება, დატოვება;"
m,maqʼal,მაყალ,b d,B,GE,n,,,მაყალი,"open coal-fire, brazier",мангал,**მაყალ** *ბ დ* მაყალი
m,maqʼbaɬinŏ,მაყბალ’ინო̆,,,,,,,,,,"**მაყბალ’ინო̆** მიმღ. თავდანებებული, მიტოვებული"
m,maqʼol1,მაყოლ1,,,,,,,,,,**მაყოლ1**ჲ* თავისუფლება
m,maqʼol2,მაყოლ2,b d,B,GE,n,,maqʼleⁿ,მაყვალი,"blackberry, bramble",ежевика,**მაყოლ2**  *ბ დ* (მაყლეჼ) მაყვალი
m,maqʼoħ-d-ajnĭ,მაყოჰ’-დ-აჲნი̆,,,,,,,,,,**მაყოჰ’-დ-აჲნი̆** თავისუფალი
m,maqʼvlilo,მაყვლილო,j j,,,,,,,,,**მაყვლილო** *ჲ ჲ* მაყვლიანი (ადგილი)
m,maqʼŏ,,,B,,n,,,რთული ფუძის ან შესიტყვების შემადგენელი ნაწილი,,,
m,maqʼšola,მაყშოლა,d d,,,,,,,,,**მაყშოლა** *დ დ* ხალვათობა
m,mar,მარ,v b,M,,n,,mari; mariⁿ,ქმარი,husband,муж,"**მარ** *ვ ბ* (მარი; მარიჼ) ქმარი **მარ ვიჲეჼ (ოჴუს)** გრდმ. ქმარი შეირთო (მან), გათხოვდა. იხ. **მარ ვარ, მარან ჲალ’არ** გრდმ. ქმრისთვის მიცემა, გათხოვება, **მარან ჴაჸენო̆** მიმღ. ქმრისთვის მომწიფებული, გასათხოვარი, **მარან ლუჲნი̆** მიმღ. ქმარს მისაცემი, გასათხოვარი. **მარაგო̆ ღუჲნი̆** - მიმღ. ქმართან წასასვლელი, გასათხოვარი"
m,mar-bader,მარ-ბადერ,d,,,,,,,,,**მარ-ბადერ** *დ* იხ. მარ-ბადრი
m,mar-badri,მარ-ბადრი,d,,,,,,,,,**მარ-ბადრი** *დ* მრ. ქმარშვილი
m,mar-pstʼu,მარ-ფსტუ,d,,,,,mar-pstʼujnčoⁿ,,,,**მარ-ფსტუ** *დ* (მარ-ფსტუჲნჩოჼ) ცოლ-ქმარი
m,marag,მარაგ,j,J,GE,n,,,მარაგი,"supplies, stock",запас,**მარაგ** *ჲ* მარაგი
m,maraⁿ,მარაჼ,,,,,,,,,,"**მარაჼ**  მარაჼ...მოჸ როგორი, რანაირი, რა (გამოხატავს სიამოვნებას, გაკვირვებას, ნატვრას) იხ. მოჸ"
m,maraⁿ,მარაჼ,j j,,,,,marni; marneⁿ,,,,"**მარაჼ** *ჲ ჲ* (მარნი; მარნეჼ) მარანი, საკუჭნაო"
m,maraⁿ1,,,J,GE,n,,,მარანი; საკუჭნაო,wine cellar; pantry,"винный погреб, кладовая",
m,maraⁿ2,,,,,:,,,"როგორი, რანაირი, რა (გამოხატავს სიამოვნებას, გაკვირვებას, ნატვრას...)",,"какой, как, что за (выражает удовольствие, удивление, желание...)",
m,marbadraleⁿ,მარბადრალეჼ,,,,,,,,,,**მარბადრალეჼ**  ქმარშვილიანი
m,marcar,მარცარ,,,,vt,,,გატუსვა (გატუსავს),"singe, scorch",опалить,**მარცარ** გრდმ. გატუსვა (გატუსავს)უსრ. მერცარ
m,marcinŏ,მარცინო̆,,,,,,,,,,**მარცინო̆** მიმღ. გატუსული
m,marcʼiⁿ,მარწიჼ,,,,,,,,,,**მარწიჼ** უქმრო[დ]
m,marcʼol,მარწოლ,j,,,,,,,,,**მარწოლ** *ჲ* უქმრობა
m,marcʼqʼŏ,მარწყო̆,b d,B,GE,n,,marcʼqʼuj; marcʼqʼujⁿ,მარწყვი,strawberry,"земляника, клубника",**მარწყო̆** *ბ დ* (მარწყუჲ; მარწყუჲჼ) მარწყვი
m,mard,მარდ,b j,Bj,,n,,mardi; mardeⁿ,წიხლი,kick,"лягание, брыкание",**მარდ** *ბ ჲ* (მარდი; მარდეჼ) წიხლი
m,"mard lastʼbar, mard lestʼbar","მარდ ლასტბარ, მარდ ლესტბარ",,,,,,,,,,"**მარდ ლასტბარ, მარდ ლესტბარ** *გრდმ.* წიხლის გაქნევა, ქნევა,**მარდი ლეხკარ** *გრდმ.* წიხლების ყრა**მარდახ დ-აჴარ, დ-ახარ** *გრდმ.* წიხლქვეშ გაგდება, დაწიხვლა (დაწიხლავს, წიხლავს)**მარდ ბიშბარ** *გრდმ.* წიხლის გარტყმა**მარდ თელ’არ** *გრდმ.* წიხლის ცემა, წიხლვა"
m,mardad,მარდად,v b,,,,,mardadi; mardadeⁿ,,,,**მარდად** *ვ ბ* (მარდადი; მარდადეჼ) მამამთილი
m,mardlakʼ,მარდლაკ,,,,,,,,,,**მარდლაკ** მწიხლავი
m,marga,მარგა,,,,,,,,,,**მარგა** მით უმეტეს *(ჭრელაშვ.)*
m,margbitalaɁ,მარგბითალაჸ,,,,adv,,,"განგებ, განზრახ","on purpose, deliberately","нарочно, намеренно","**მარგბითალაჸ** ზმნს. განგებ, განზრახ"
m,margil,მარგილ,b d,B,GE,n,,majrgli; majrgleⁿ,მარგილი,sharpened stake (for fence),кол (для забора),**მარგილ** *ბ დ* (მაჲრგლი; მაჲრგლეჼ) მარგილი
m,marglitʼ,მარგლიტ,b d,B,GE,n,,margalitʼi; marg[a]litʼeⁿ,მარგალიტი,pearl,жемчуг,**მარგლიტ** *ბ დ* (მარგალიტი; მარგ[ა]ლიტეჼ) მარგალიტი
m,marglod-d-ar,მარგლოდ-დ-არ,,,GE,vt,,,მარგვლა,"weed, hoe",полоть,**მარგლოდ-დ-არ** გრდმ. მარგვლა; სრ. გამარგლოდ-დ-არ
m,marliⁿ,მარლიჼ,,,,,,,,,,**მარლიჼ** ქმრიანი
m,marmarilŏ,მარმარილო̆,b d,B,GE,n,,,მარმარილო,marble,мармор,**მარმარილო̆** *ბ დ* მარმრილო
m,marol,მაროლ,,,,,,,,,,"**მაროლ** სიმამაცე, ვაჟკაცობა *(შიფნ.)*"
m,martuš,მართუშ,d d,D,,n,,,ბლითისმაგვარი მრგვალი პური,"round bread, bagel",хлеб вроде бублика,**მართუშ** *დ დ* ბლითისმაგვარი მრგვალი პური
m,martʼ,მარტ,b d,B,GE,n,,,მარტი,March,март,**მარტ** *ბ დ* მარტი
m,marvar,მარვარ,,,,,,,,,,"**მარვარ** გრდმ. ქმრის შერთვა, გათხოვება იხ. მარ"
m,"marxdar, marxŏ dar","მარხდარ, მარხო̆ დარ",,,,,,,,,,"**მარხდარ, მარხო̆ დარ** *გრდმ. მარხულობა (მარხულობს)* **მარხდასტდალარ, მარხო̆ დასტდალარ** *გრდუვ. გახსნილება (გახსნილდება), მარხვის გახსნა* **მარხდასტარ, მარხო̆ დასტარ** *გრდმ.* გასნილება (გაიხსნილებს) მარხვის გახსნა **მარხდეჴინო̆, მარხო̆ დეჴინო̆**  *მიმღ.* ნამარხულევი, მარხვაგადახდილი**მარხდოლ’არ მარხო̆ დოლ’არ** *გრდუვ.* დამარხვება (დამარხვდება), მარხვის დაწყება, დადგომა**მარხდოჟარ, მარხო̆ დოჟარ** *გრდმ.* მარხვის დაწყება (მარხვას დაიწყებს), დამარხვება"
m,marxil,მარხილ,b d,B,GE,n,,majrxli; majrxleⁿ,მარხილი,"sledge, sleigh",сани,**მარხილ** *ბ დ* (მაჲრხლი; მაჲრხლეჼ) მარხილი
m,marxoš,მარხოშ,,,GE,a,,,მარახოში (ღვინო),sourish (wine),кисловатый (о вине),**მარხოშ** მარახოში (ღვინო)
m,marxŏ,მარხო̆,d d,,GE,n,,marxuj; marxujⁿ,მარხვა,"Lent, fast",пост,**მარხო̆** *დ დ* (მარხუჲ; მარხუჲჼ) მარხვა
m,marğaɁŏ,მარღაჸო̆,,,GE,n,,,"მარღი, მარღი ცხენის მეტსახელი","albino-eyed, horse's nickname",белоглазый (о лошади),"**მარღაჸო̆** მარღი, მარღი ცხენის მეტსახელი"
m,marš,მარშ,,,,adv,,,"მშვიდად, მშვიდობიანად, მშვიდობით","peacefully, calmly","мирно, спокойно, благополучно","**მარშ** მშვიდად, მშვიდობიანად, მშვიდობით"
m,maršix-d-aloħ,მარშიხ-დ-ალოჰ’,,,,,,,,,,**მარშიხ-დ-ალოჰ’** (მარშიხ-დ-ალუჲში̆) - გამარჯობა! *(ექსპ.)*
m,maršiⁿ,მარშიჼ,,,,,,,,,,"**მარშიჼ** სამშვიდობო, მშვიდობისა, მშვიდობიანი"
m,maršol,მარშოლ,j,J,,n,,,"მშვიდობა, კეთილდღეობა","peace, quiet, wellbeing","спокойствие, благополучие, мир","**მარშოლ** *ჲ* მშვიდობა, კეთილდღეობა"
m,maršol aɬar,მარშოლ ალ’არ,,,,,,,,,,"**მარშოლ ალ’არ** *გრდმ.* სალმის თქმა (სალამს ეტყვის), მისალმება (მიესალმება)**მარშოლ ხეტტარ** *გრდმ.* სალმის მიცემა (სალამს აძლევს, ესალმება), მოკითხვა**მარშოლ ჴებლარ** *გრდმ.* გამომშვიდობება, გამოთხოვება, გამოსალმება; მოკითხვის შეთვლა, მოკითხვა"
m,marɬbaki,მარლ’ბაქი,j,,,,,,,,,"**მარლ’ბაქი** *ჲ* სახე, ცხვირ-პირი **მარლ’ბაქი ლაჴჴჲიენო̆** მიმღ. ცხვირაწეული, ამაყი, ყოყლოჩინა **მარლ’ბაქი ჩუ ჴოხკჲარ** გრდმ. ცხვირპირის ჩამოშვება, მობუზვა, აბუზვა"
m,marɬŏ,მარლ’ო̆,b d,B,,n,,marɬuj; marɬujⁿ,ცხვირი,nose,нос,**მარლ’ო̆** *ბ დ* (მარლ’უჲ; მარლ’უჲჼ) ცხვირი
m,masal,მასალ,j j,J,GE,n,,masleⁿ,მასალა,material,материал,**მასალ** *ჲ ჲ* (მასლეჼ) მასალა
m,masor,მასორ,d d,D,,n,,masajrč; masriⁿ,"ფსიტი, არჩვი",Alpine chamois,серна,"**მასორ** *დ დ* (მასაჲრჩ; მასრიჼ) ფსიტი, არჩვი"
m,maspʼinʒel,მასპინძელ,v b; j d; d d,M/F,GE,n,,maspʼinʒli; maspʼinʒleⁿ,მასპინძელი,host,хозяин (в отношении гостей),**მასპინძელ** *ვ ბ; ჲ დ; დ დ* (მასპინძლი; მასპინძლეჼ) მასპინძელი
m,masr,მასრ,d d,D,GE,n,,masri; masreⁿ,"მასრა, ვაზნა",cartridge,гильза,"**მასრ** *დ დ* (მასრი; მასრეჼ) მასრა, ვაზნა"
m,mastxlob,მასთხლობ,d,,,,,,,,,**მასთხლობ** *დ* მტრობა **მასთხლობდარ** გრდმ. მტრობა (მტრობს)
m,mastxov,მასთხოვ,v b d d,M,,n,,mastxuj; mastxoveⁿ,მტერი,enemy,враг,**მასთხოვ** *ვ ბ დ დ* (მასთხუჲ; მასთხოვეჼ)მტერი
m,mastxovajğ qettenŏ,მასთხოვაჲღ ჴეთთენო̆,,,,,,,,,,"**მასთხოვაჲღ ჴეთთენო̆** *მიმღ.* მტრად გამხდარი, გადამტერებული"
m,"mastxovajğ, mastxoveğ ottar, qettar","მასთხოვაჲღ, მასთხოვეღ ოთთარ, ჴეთთარ",,,,,,,,,,"**მასთხოვაჲღ, მასთხოვეღ ოთთარ, ჴეთთარ** *გრდუვ.* მტრად დადგომა, გადამტერება, მტრობა"
m,mastxujliⁿ,მასთხუჲლიჼ,,,,,,,,,,**მასთხუჲლიჼ** მტრიანი
m,mastxujğeⁿ,მასთხუჲღეჼ,,,,,,,,,,"**მასთხუჲღეჼ** მტრული, მტრისებური"
m,matar,მათარ,d d,D,GE,n,,matri; matrajⁿ,მათარა,"flask, water bag",кожаная фляжка,**მათარ** *დ დ* (მათრი; მათრაჲჼ) მათარა
m,mattiš,მათთიშ,,,,n,,,,,,**მათთიშ** მრ. იხ. მოთთ
m,matx,მათხ,b d,B,,n,,matxiⁿ,მზე,sun,солнце,**მათხ** *ბ დ* (მათხიჼ) მზე
m,matxar-d-alar,მათხარ-დ-ალარ,,,,vi,,,"[და]ჭკნობა ([და]ჭკნება); გახუნება (გახუნდება), ფერის წასვლა","wilt, wither, fade, discolour","увянуть, увядать; (вы)менять",**მათხარ-დ-ალარ** გრდუვ. 1. [და]ჭკნობა ([და]ჭკნება)2. გახუნება (გახუნდება) ფერის წასვლა
m,"matxar-d-alinŏ, matxar-d-ajlnŏ","მათხარ-დ-ალინო̆, მათხარ-დ-აჲლნო̆",,,,,,,,,,"**მათხარ-დ-ალინო̆, მათხარ-დ-აჲლნო̆** მიმღ 1. დამჭკნარი 2 გახუნებული"
m,matxar-d-ar,მათხარ-დ-არ,,,,vt,,,[და]ჭკნობა ([და]აჭკნობს); [გა]ხუნება ([გა]ახუნებს),"make wither, make fade, discolour","заставить (за)вянуть; заставить полинять, выцвести",**მათხარ-დ-არ** გრდმ. 1. [და]ჭკნობა ([და]აჭკნობს) 2. [გა]ხუნება ([გა]ახუნებს)
m,matxbaɬujla,მათხბალ’უჲლა,d,,,,,,,,,"**მათხბალ’უჲლა** *დ* მზის ამოსვლა, მზის ამოსვლის დრო; აღმოსავლეთი"
m,matxbucʼujla,მათხბუწუჲლა,d,,,,,,,,,"**მათხბუწუჲლა** *დ* მზის ჩასვლა, მზის ჩსვლის დრო; დასავლეთი"
m,matxcʼiⁿ,მათხწიჼ,,,,,,,,,,"**მათხწიჼ**  უმზეო, უმზეოდ"
m,"matxejvħĕ, matxivħ","მათხეჲვჰ’ე̆, მათხივჰ’",j d,,,,,,,,,"**მათხეჲვჰ’ე̆, მათხივჰ’** ზმნს. მზისკენ, მზეში, სინათლისკენ **მათხეჼ შურ** *ჲ დ* რძიანა (მზის რძე) თავსაწყვეტელა **მათხიჼ ქვეყანა** ჲ ჲ მზის ქვეყანა, სამყარო"
m,matʼ-d-alar,მატ-დ-ალარ,,,,,,,,,,"**მატ-დ-ალარ** გრდუვ. დამწიფება (დამწიფდება), შემოსვლა"
m,"matʼ-d-alinŏ, madtʼ-d-ajlnŏ","მატ-დ-ალინო̆, მადტ-დ-აჲლნო̆",,,,,,,,,,"**მატ-დ-ალინო̆, მადტ-დ-აჲლნო̆** მიმღ. დამწიფებული"
m,matʼ-d-ar,მატ-დ-არ,,,,,,,,,,**მატ-დ-არ** გრდმ. დამწიფება ([და]ამწიფებს)
m,matʼeⁿ,მატეჼ,,,,a,,,მწიფე,ripe,"спелый, зрелый (плод)",**მატეჼ** მწიფე
m,matʼkʼaɁ-d-alar,მატკაჸ-დ-ალარ,,,,,,,,,,"**მატკაჸ-დ-ალარ** გრდუვ. მცირედ დამწიფება (მცირედ [და]მწიფდება), სიმწიფეში შესვლა"
m,matʼkʼaɁ-d-alinŏ,მატკაჸ-დ-ალინო̆,,,,,,,,,,"**მატკაჸ-დ-ალინო̆** მიმღ. მცირედ დამწიფებული, შემწიფებული"
m,matʼlajnĭ,მატლაჲნი̆,,,,,,,,,,"**მატლაჲნი̆** მიმღ. ის, რაც მწიფდება, დასამწიფებელი"
m,matʼol,მატოლ,j,,,,,,,,,**მატოლ** *ჲ* სიმწიფე
m,matʼr,მატრ,d d,D,,n,,matʼreⁿ,სადილი,"lunch, dinner",обед,**მატრ** *დ დ* (მატრეჼ) სადილი
m,matʼrakʼvec,მატრაკვეც,,,GE,n,,,მატრაკვეცა,upstart,выскочка,**მატრაკვეც** მატრაკვეცა
m,"matʼrenajnŏ, matʼreⁿ","მატრენაჲნო̆, მატრეჼ",,,,,,,,,,"**მატრენაჲნო̆, მატრეჼ** *სადილისათვის, სადილად*"
m,matʼtʼ,,,,,vi,,,ენის ბორძიკი,,заикаться,
m,matʼtʼcʼiⁿ,მატტწიჼ,,,,,,,,,,"**მატტწიჼ**  უენო, უტყვი"
m,matʼtʼiš,მატტიშ,,,,,,,,,,**მატტიშ** მრ. იხ. მოტტ
m,matʼtʼliⁿ,მატტლიჼ,,,,,,,,,,"**მატტლიჼ** ენაწყლიანი, ენიანი"
m,maval,,,D,,n,,,საყმაწვილო,scrofula,золотуха,
m,"maval, mavol","მავალ, მავოლ",d d,,,,,,,,,"**მავალ, მავოლ** *დ დ* საყმაწვილო"
m,mavtul,მავთულ,d d,D,GE,n,,majvtli; majvtleⁿ,მავთული,wire,проволка,**მავთულ** *დ დ* (მაჲვთლი; მაჲვთლეჼ)მავთული
